end_station_name,member_casual,end_lat,end_lng,total_trips
"Buckingham Fountain (Temp)",casual,41.86962127685547,-87.62397766113281,1453
"Buckingham Fountain (Temp)",member,41.86962127685547,-87.62397766113281,698
"Budlong Woods Library",casual,41.98366540165271,-87.69641916630631,472
"Budlong Woods Library",member,41.9836664716774,-87.69641740745473,535
"Buffalo Ave & 133rd St",member,41.650001525878906,-87.54000091552734,1
"Buffalo Ave & 89th St",casual,41.72999954223633,-87.54000091552734,5
"Burling St & Diversey Pkwy",casual,41.933139663621766,-87.64775851959614,4914
"Burling St & Diversey Pkwy",member,41.93313958313846,-87.64775848807685,9104
"Burnham Greenway & 105th St",casual,41.70457477287706,-87.52822984967914,203
"Burnham Greenway & 105th St",member,41.70457458496094,-87.52822875976562,37
"Burnham Greenway & 112th St",casual,41.6917724609375,-87.53043365478516,385
"Burnham Greenway & 112th St",member,41.6917724609375,-87.53043365478516,104
"Burnham Harbor",casual,41.857280453415555,-87.61374185569733,4518
"Burnham Harbor",member,41.857200856517544,-87.613712275114,5560
"California & 16th St",casual,41.86000061035156,-87.69999694824219,68
"California & 16th St",member,41.86000061035156,-87.69999694824219,34
"California Ave & 21st St",casual,41.853803042976224,-87.69567844624422,490
"California Ave & 21st St",member,41.85380317405418,-87.69567596435547,675
"California Ave & 23rd Pl",casual,41.8491096496582,-87.69513702392578,222
"California Ave & 23rd Pl",member,41.84911005238284,-87.695136956805,341
"California Ave & 26th St",casual,41.843692477386774,-87.69497907279742,101
"California Ave & 26th St",member,41.84370562190263,-87.69499035492487,281
"California Ave & 29th St",casual,41.84000015258789,-87.69000244140625,2
"California Ave & 29th St",member,41.84000015258789,-87.69000244140625,5
"California Ave & 36th St",casual,41.83000183105469,-87.69000244140625,57
"California Ave & 36th St",member,41.83000183105469,-87.69000244140625,10
"California Ave & Altgeld St",casual,41.92668865856371,-87.69767014854833,1520
"California Ave & Altgeld St",member,41.92668897047706,-87.69767044090283,1999
"California Ave & Byron St",casual,41.95216371150221,-87.69805154391561,1003
"California Ave & Byron St",member,41.9521635215475,-87.69805176065576,1288
"California Ave & Cortez St",casual,41.900361142671215,-87.69672822575518,2911
"California Ave & Cortez St",member,41.900361246372825,-87.69672393798828,3145
"California Ave & Devon Ave - NE",casual,42,-87.69999694824219,4
"California Ave & Devon Ave - NE",member,42,-87.69999694824219,12
"California Ave & Devon Ave - NW",casual,42,-87.69999694824219,5
"California Ave & Devon Ave - NW",member,42,-87.69999694824219,4
"California Ave & Division St",casual,41.903030326980314,-87.6974712918289,2171
"California Ave & Division St",member,41.90303028626475,-87.6974714600737,2165
"California Ave & Fletcher St",casual,41.93842724162659,-87.69800565625538,1906
"California Ave & Fletcher St",member,41.93842711858343,-87.69800575653201,1711
"California Ave & Francis Pl (Temp)",casual,41.91849136977216,-87.69742581313353,1832
"California Ave & Francis Pl (Temp)",member,41.91849171481177,-87.69742552510425,2237
"California Ave & Lake St",casual,41.884452809372995,-87.69629673369943,365
"California Ave & Lake St",member,41.884453289982986,-87.69629322981633,357
"California Ave & Marquette Rd",casual,41.77000045776367,-87.69000244140625,81
"California Ave & Marquette Rd",member,41.77000045776367,-87.69000244140625,19
"California Ave & Milwaukee Ave",casual,41.92269505837753,-87.69715110828861,5335
"California Ave & Milwaukee Ave",member,41.92269526333046,-87.69715125870033,5828
"California Ave & Montrose Ave",casual,41.96106732630834,-87.6954421663909,1145
"California Ave & Montrose Ave",member,41.961067436413884,-87.6954428139711,1950
"California Ave & North Ave",casual,41.91047123471896,-87.696932442983,1920
"California Ave & North Ave",member,41.91047110108924,-87.69693558326833,2519
"California Ave & Ogden Ave",casual,41.86000061035156,-87.69999694824219,2
"California Ave & Pershing Rd",casual,41.81999969482422,-87.69999694824219,6
"California Ave & Pershing Rd",member,41.81999969482422,-87.69999694824219,1
"California Ave & Touhy Ave - NW",casual,42.0099983215332,-87.69999694824219,4
"California Ave & Touhy Ave - NW",member,42.0099983215332,-87.69999694824219,5
"California Ave & Winona St",casual,41.970001220703125,-87.69999694824219,91
"California Ave & Winona St",member,41.970001220703125,-87.69999694824219,264
"Calumet Ave & 103rd St",casual,41.709999084472656,-87.62000274658203,2
"Calumet Ave & 18th St",casual,41.85764743201656,-87.61950652522792,3364
"Calumet Ave & 18th St",member,41.85766566094057,-87.61955494645201,5184
"Calumet Ave & 21st St",casual,41.85418579699118,-87.61915658395502,2528
"Calumet Ave & 21st St",member,41.854184054895725,-87.61915698641705,1543
"Calumet Ave & 33rd St",casual,41.8348994883801,-87.61792749785486,857
"Calumet Ave & 33rd St",member,41.83489958038404,-87.61792772924342,6173
"Calumet Ave & 35th St",casual,41.831378708914755,-87.6180341716906,519
"Calumet Ave & 35th St",member,41.8313794074812,-87.6180343244543,1791
"Calumet Ave & 51st St",casual,41.80222246474114,-87.61811928127123,345
"Calumet Ave & 51st St",member,41.80227045105114,-87.61807856987551,457
"Calumet Ave & 71st St",casual,41.765506744384766,-87.6169204711914,29
"Calumet Ave & 71st St",member,41.765506744384766,-87.6169204711914,9
"Calumet Ave & Garfield Blvd",casual,41.790000915527344,-87.62000274658203,4
"Calumet Ave & Garfield Blvd",member,41.790000915527344,-87.62000274658203,2
"Calumet Park",casual,41.71371078491211,-87.53084564208984,211
"Calumet Park",member,41.71371078491211,-87.53084564208984,66
"Campbell Ave & 51st St",casual,41.79999923706055,-87.69000244140625,46
"Campbell Ave & 51st St",member,41.79999923706055,-87.69000244140625,5
"Campbell Ave & Fullerton Ave",casual,41.924633536540284,-87.68930819092579,1562
"Campbell Ave & Fullerton Ave",member,41.92463302844908,-87.68930837584705,1640
"Campbell Ave & Irving Park Rd",casual,41.95000076293945,-87.69000244140625,121
"Campbell Ave & Irving Park Rd",member,41.95000076293945,-87.69000244140625,147
"Campbell Ave & Montrose Ave",casual,41.961524963378906,-87.691162109375,748
"Campbell Ave & Montrose Ave",member,41.96152543166091,-87.69116187883617,2118
"Campbell Ave & Montrose Ave (Temp)",casual,41.961543510700096,-87.69315837991648,29
"Campbell Ave & Montrose Ave (Temp)",member,41.961546140296434,-87.69319473694418,107
"Campbell Ave & North Ave",casual,41.91053397398849,-87.6895524481818,2434
"Campbell Ave & North Ave",member,41.91053423497491,-87.68955252948356,3191
"Canal St & Adams St",casual,41.87925584755486,-87.63989933410994,4717
"Canal St & Adams St",member,41.879256056841186,-87.63990027302603,14442
"Canal St & Harrison St",casual,41.87425589895382,-87.63957218629639,714
"Canal St & Harrison St",member,41.874255659678134,-87.63957218768074,1729
"Canal St & Jackson Blvd",casual,41.877247320840276,-87.63936480751863,2819
"Canal St & Jackson Blvd",member,41.87724668870375,-87.63936416040396,7244
"Canal St & Madison St",casual,41.88216553555844,-87.63979891421496,3715
"Canal St & Madison St",member,41.88216584348556,-87.6398027450631,10102
"Canal St & Monroe St",casual,41.881705960667965,-87.63953758489549,2932
"Canal St & Monroe St",member,41.881690852139506,-87.63952532828337,8269
"Canal St & Taylor St",casual,41.87025789666922,-87.63947302029992,2203
"Canal St & Taylor St",member,41.87025831415797,-87.63947278830315,4451
"Cannon Dr & Fullerton Ave",casual,41.926757798834245,-87.63442998435139,3908
"Cannon Dr & Fullerton Ave",member,41.9267578093732,-87.63443009423428,2440
"Canty Elementary School",casual,41.95000076293945,-87.83000183105469,1
"Canty Elementary School",member,41.95000076293945,-87.83000183105469,1
"Carpenter St & 63rd St",casual,41.779869079589844,-87.65091705322266,35
"Carpenter St & 63rd St",member,41.779869079589844,-87.65091705322266,7
"Carpenter St & Huron St",casual,41.89455399099661,-87.65344835544118,3136
"Carpenter St & Huron St",member,41.894554102088684,-87.65344745615265,5707
"Central Ave & Chicago Ave",casual,41.894958338088536,-87.76490047838561,169
"Central Ave & Chicago Ave",member,41.89495787361177,-87.76490129287272,239
"Central Ave & Congress Pkwy",casual,41.869998931884766,-87.76000213623047,4
"Central Ave & Corcoran Pl",casual,41.88999938964844,-87.7699966430664,6
"Central Ave & Corcoran Pl",member,41.88999938964844,-87.7699966430664,1
"Central Ave & George St",casual,41.93000030517578,-87.7699966430664,1
"Central Ave & George St",member,41.93000030517578,-87.7699966430664,7
